               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11134,            0.071986,            0.027871,           0.0024631,             0.14789,           0.0023515,          0.00053441,             0.10301,            0.038993,            0.026625,               6e-05,               6e-05,             0.09946
                   1,              0.1085,            0.073464,            0.027111,             0.50308,             0.12324,           0.0022938,          0.00047262,             0.10016,            0.040695,            0.026087,             0.00013,             0.00013,             0.09883
                   2,             0.10629,            0.072748,            0.026856,           0.0032545,             0.13028,           0.0020415,          0.00039386,            0.097896,            0.042041,            0.025463,              0.0002,              0.0002,              0.0982
                   3,             0.10204,            0.080424,            0.025839,           0.0040735,             0.27324,           0.0037807,           0.0010567,            0.096409,            0.042985,            0.024855,          0.00026999,          0.00026999,             0.09757
                   4,             0.10201,            0.078625,            0.025424,           0.0040735,             0.27324,           0.0027474,          0.00075674,            0.095638,             0.04356,            0.024248,          0.00033999,          0.00033999,             0.09694
                   5,              0.1035,            0.094664,            0.024706,           0.0039855,             0.26972,           0.0026134,          0.00074894,            0.095305,            0.043852,            0.023674,          0.00040998,          0.00040998,             0.09631
                   6,             0.09901,             0.08334,            0.024051,           0.0040634,              0.2912,           0.0027153,          0.00073646,            0.094876,            0.044199,            0.023128,          0.00047996,          0.00047996,             0.09568
                   7,            0.099805,            0.084137,            0.023423,           0.0040634,              0.2912,           0.0029188,           0.0007685,            0.094542,            0.044476,            0.022635,          0.00054994,          0.00054994,             0.09505
                   8,             0.10015,             0.07397,            0.022818,           0.0037318,              0.2412,            0.002706,          0.00070719,            0.094231,            0.044709,            0.022143,          0.00061991,          0.00061991,             0.09442
                   9,            0.096839,            0.087427,            0.022745,           0.0038976,              0.2662,           0.0027917,          0.00070644,            0.094017,            0.044921,            0.021726,          0.00068988,          0.00068988,             0.09379
                  10,            0.098154,            0.087935,            0.023235,           0.0040634,              0.2912,           0.0030336,          0.00080116,            0.093693,            0.045215,            0.021394,          0.00075983,          0.00075983,             0.09316
                  11,            0.097665,            0.088666,            0.022986,           0.0040735,             0.27324,           0.0031049,          0.00078499,            0.093549,            0.045407,            0.021104,          0.00082978,          0.00082978,             0.09253
                  12,            0.097461,            0.088329,            0.021986,           0.0045133,             0.29085,           0.0033783,          0.00086048,            0.093655,            0.045442,            0.020798,          0.00089971,          0.00089971,              0.0919
