               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11048,            0.069838,             0.02749,           0.0026329,             0.14789,           0.0019004,            0.000427,             0.10303,            0.038958,             0.02661,               6e-05,               6e-05,             0.09946
                   1,              0.1088,            0.081613,             0.02701,             0.50334,              0.1338,           0.0025905,          0.00051279,            0.099938,            0.040812,             0.02597,          0.00012997,          0.00012997,             0.09883
                   2,             0.10567,            0.074617,              0.0265,             0.50317,             0.12676,           0.0024561,          0.00058744,            0.097717,            0.042173,             0.02532,          0.00019982,          0.00019982,              0.0982
                   3,             0.10409,            0.075631,            0.026137,           0.0030787,             0.12324,           0.0020907,          0.00044471,            0.096187,            0.043138,            0.024708,          0.00026946,          0.00026946,            0.097569
                   4,             0.10255,            0.082896,            0.024986,           0.0037419,             0.22324,           0.0025411,          0.00062156,            0.095533,            0.043602,            0.024087,          0.00033879,          0.00033879,            0.096939
                   5,            0.099778,            0.082951,            0.024856,           0.0037419,             0.22324,           0.0027039,          0.00065326,            0.095027,            0.043996,            0.023555,          0.00040773,          0.00040773,            0.096308
                   6,            0.099605,               0.086,            0.024471,           0.0037419,             0.22324,           0.0027625,          0.00069942,            0.094628,            0.044312,            0.023088,          0.00047617,          0.00047617,            0.095676
                   7,             0.10004,            0.093074,            0.023944,           0.0037318,              0.2412,           0.0026553,           0.0006555,            0.094455,            0.044482,            0.022668,          0.00054404,          0.00054404,            0.095044
                   8,            0.099761,            0.088076,            0.023904,           0.0037318,              0.2412,           0.0026664,          0.00064044,            0.094286,            0.044661,            0.022276,          0.00061123,          0.00061123,            0.094411
                   9,            0.099005,             0.08276,            0.023594,           0.0037318,              0.2412,           0.0026629,          0.00065719,            0.094012,             0.04492,            0.021909,          0.00067767,          0.00067767,            0.093778
                  10,            0.099093,            0.080477,            0.022821,           0.0037318,              0.2412,           0.0027998,          0.00068458,            0.093641,            0.045239,            0.021545,          0.00074326,          0.00074326,            0.093143
                  11,            0.098264,            0.084047,            0.022037,           0.0037318,              0.2412,           0.0027768,          0.00067703,            0.093434,             0.04544,            0.021188,          0.00080792,          0.00080792,            0.092508
                  12,             0.10007,            0.082756,            0.021744,           0.0034002,              0.1912,           0.0025371,          0.00064369,            0.093268,            0.045602,            0.020836,          0.00087156,          0.00087156,            0.091872
