               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10992,            0.072036,            0.027436,            0.003817,             0.20141,           0.0029247,          0.00067426,             0.10379,            0.050987,            0.026561,             0.00052,             0.00052,             0.09532
                   1,             0.10779,             0.07454,            0.027202,              0.5051,             0.13028,           0.0034609,          0.00072442,             0.10102,               0.053,            0.026075,           0.0010498,           0.0010498,             0.09055
                   2,              0.1054,            0.072823,             0.02651,           0.0043908,             0.16972,           0.0027861,          0.00069467,             0.10654,            0.052728,            0.027021,           0.0015786,           0.0015786,            0.085779
                   3,             0.10295,             0.07592,            0.025775,           0.0023761,            0.084507,           0.0014108,          0.00031123,             0.12484,             0.13496,             0.04281,           0.0021058,           0.0021058,            0.081006
                   4,             0.10104,            0.076498,            0.024878,           0.0024894,            0.084507,           0.0014329,          0.00028132,             0.12586,             0.14267,            0.039374,           0.0026306,           0.0026306,            0.076231
                   5,             0.10132,            0.093294,            0.024284,           0.0031804,             0.05669,            0.001229,          0.00025114,             0.13335,             0.35013,            0.066838,           0.0031524,           0.0031524,            0.071452
                   6,            0.098258,            0.080233,            0.023411,           0.0063707,             0.18415,           0.0030004,          0.00078207,             0.10251,            0.061744,            0.026745,           0.0036705,           0.0036705,            0.066671
                   7,            0.099496,            0.085522,            0.023424,           0.0046888,             0.10915,           0.0029916,          0.00068837,              0.1011,             0.05835,             0.02483,           0.0041842,           0.0041842,            0.061884
                   8,            0.097792,             0.07395,            0.022842,           0.0041472,             0.20528,            0.002733,          0.00070312,            0.099801,            0.055793,            0.022975,           0.0046927,           0.0046927,            0.057093
                   9,            0.097961,            0.087996,            0.023212,           0.0050898,             0.09507,           0.0028968,           0.0006287,             0.10114,            0.056864,            0.022597,           0.0051955,           0.0051955,            0.052295
                  10,            0.096738,            0.084776,            0.023059,           0.0040377,             0.12711,           0.0023098,          0.00047625,             0.10429,            0.057677,            0.023035,           0.0056918,           0.0056918,            0.047492
                  11,            0.097016,            0.088328,            0.023004,           0.0031685,             0.12676,           0.0019106,          0.00038832,             0.12489,            0.054705,            0.031618,           0.0061811,           0.0061811,            0.042681
                  12,             0.09608,            0.085628,            0.021752,            0.016269,            0.028521,           0.0031032,          0.00059165,             0.13676,             0.17178,            0.088691,           0.0066626,           0.0066626,            0.037863
                  13,            0.095882,            0.080223,            0.021661,           0.0078294,            0.053521,            0.002896,          0.00053706,             0.11903,            0.056286,            0.043352,           0.0071358,           0.0071358,            0.033036
                  14,            0.096758,            0.084507,            0.021151,           0.0054216,             0.25176,           0.0032545,          0.00066195,             0.11278,            0.051448,            0.033822,           0.0075999,           0.0075999,              0.0282
                  15,            0.095376,            0.088387,            0.021318,           0.0049699,             0.08169,           0.0026453,          0.00057305,             0.12003,            0.059204,            0.052914,           0.0080546,           0.0080546,            0.023355
