               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11246,            0.066714,            0.028336,           0.0033123,             0.18768,           0.0023623,          0.00049195,             0.10449,            0.038129,            0.026931,               2e-05,               2e-05,             0.09982
                   1,             0.11044,             0.07671,            0.027358,             0.50299,             0.11972,           0.0018959,          0.00043271,             0.10187,            0.039712,            0.026451,               5e-05,               5e-05,             0.09955
                   2,             0.10706,            0.070913,             0.02721,             0.50343,             0.13732,           0.0035447,          0.00078451,            0.099385,            0.041171,            0.025886,               8e-05,               8e-05,             0.09928
                   3,             0.10333,            0.078991,            0.026257,           0.0031665,             0.12676,            0.003243,          0.00086292,            0.097464,            0.042323,            0.025285,             0.00011,             0.00011,             0.09901
                   4,             0.10261,            0.081679,            0.025845,           0.0031667,             0.12676,           0.0018921,          0.00044138,            0.096166,            0.043156,            0.024672,             0.00014,             0.00014,             0.09874
                   5,             0.10567,            0.098895,            0.025074,           0.0041615,             0.27676,           0.0042343,            0.001109,            0.095791,            0.043466,            0.024079,             0.00017,             0.00017,             0.09847
                   6,            0.099041,            0.083989,            0.024604,           0.0040735,             0.27324,           0.0062656,           0.0014977,             0.09536,            0.043833,            0.023507,              0.0002,              0.0002,              0.0982
                   7,            0.099588,            0.081388,             0.02391,           0.0040634,              0.2912,           0.0026202,          0.00071934,            0.094971,            0.044151,             0.02297,          0.00022999,          0.00022999,             0.09793
                   8,             0.10207,            0.073802,            0.023353,           0.0038976,              0.2662,            0.004462,           0.0010651,            0.094576,            0.044443,            0.022455,          0.00025999,          0.00025999,             0.09766
                   9,            0.096762,            0.085482,            0.022787,           0.0038976,              0.2662,           0.0033534,          0.00097111,            0.094221,            0.044737,            0.021997,          0.00028999,          0.00028999,             0.09739
                  10,            0.098848,             0.09038,            0.023386,           0.0040735,             0.27324,           0.0026553,          0.00070768,            0.093858,            0.045039,             0.02161,          0.00031998,          0.00031998,             0.09712
                  11,            0.097517,            0.083771,            0.023433,           0.0038976,              0.2662,           0.0028081,          0.00076027,            0.093651,            0.045248,            0.021272,          0.00034998,          0.00034998,             0.09685
                  12,            0.097001,            0.085006,             0.02237,           0.0041615,             0.27676,           0.0030611,          0.00079118,            0.093644,            0.045343,             0.02094,          0.00037997,          0.00037997,             0.09658
                  13,            0.096819,            0.080412,            0.021361,           0.0041615,             0.27676,            0.003362,          0.00086928,            0.093498,            0.045521,            0.020609,          0.00040996,          0.00040996,             0.09631
